时间,省份,确诊,疑似,治愈,死亡
2020/1/26,香港,8,0,0,0
2020/1/26,澳门,5,0,0,0

2020/1/27,全国,0,0,0,0
2020/1/27,广东,0,0,0,0
2020/1/27,青海,0,0,0,0
2020/1/27,四川,0,0,0,0
2020/1/27,海南,0,0,0,0
2020/1/27,陕西,0,0,0,0
2020/1/27,甘肃,0,0,0,0
2020/1/27,云南,0,0,0,0
2020/1/27,湖南,0,0,0,0
2020/1/27,湖北,0,0,0,0
2020/1/27,黑龙江,0,0,0,0
2020/1/27,贵州,0,0,0,0
2020/1/27,山东,0,0,0,0
2020/1/27,江西,0,0,0,0
2020/1/27,河南,0,0,0,0
2020/1/27,河北,0,0,0,0
2020/1/27,山西,0,0,0,0
2020/1/27,安徽,0,0,0,0
2020/1/27,福建,0,0,0,0
2020/1/27,浙江,0,0,0,0
2020/1/27,江苏,0,0,0,0
2020/1/27,吉林,0,0,0,0
2020/1/27,辽宁,0,0,0,0
2020/1/27,台湾,0,0,0,0
2020/1/27,新疆,0,0,0,0
2020/1/27,广西,0,0,0,0
2020/1/27,宁夏,0,0,0,0
2020/1/27,内蒙古,0,0,0,0
2020/1/27,西藏,0,0,0,0
2020/1/27,北京,0,0,0,0
2020/1/27,天津,0,0,0,0
2020/1/27,上海,0,0,0,0
2020/1/27,重庆,0,0,0,0
2020/1/27,香港,0,0,0,0
2020/1/27,澳门,0,0,0,0

2020/1/28,全国,0,0,0,0
2020/1/28,广东,0,0,0,0
2020/1/28,青海,0,0,0,0
2020/1/28,四川,0,0,0,0
2020/1/28,海南,0,0,0,0
2020/1/28,陕西,0,0,0,0
2020/1/28,甘肃,0,0,0,0
2020/1/28,云南,0,0,0,0
2020/1/28,湖南,0,0,0,0
2020/1/28,湖北,0,0,0,0
2020/1/28,黑龙江,0,0,0,0
2020/1/28,贵州,0,0,0,0
2020/1/28,山东,0,0,0,0
2020/1/28,江西,0,0,0,0
2020/1/28,河南,0,0,0,0
2020/1/28,河北,0,0,0,0
2020/1/28,山西,0,0,0,0
2020/1/28,安徽,0,0,0,0
2020/1/28,福建,0,0,0,0
2020/1/28,浙江,0,0,0,0
2020/1/28,江苏,0,0,0,0
2020/1/28,吉林,0,0,0,0
2020/1/28,辽宁,0,0,0,0
2020/1/28,台湾,0,0,0,0
2020/1/28,新疆,0,0,0,0
2020/1/28,广西,0,0,0,0
2020/1/28,宁夏,0,0,0,0
2020/1/28,内蒙古,0,0,0,0
2020/1/28,西藏,0,0,0,0
2020/1/28,北京,0,0,0,0
2020/1/28,天津,0,0,0,0
2020/1/28,上海,0,0,0,0
2020/1/28,重庆,0,0,0,0
2020/1/28,香港,0,0,0,0
2020/1/28,澳门,0,0,0,0
